station-code,location,temperature-min,temperature-max,ph-min,ph-max,conductivity-min,conductivity-max,coliform-min,coliform-max,dissolved-solids-min,dissolved-solids-max,fluoride-min,fluoride-max,arsenic-min,arsenic-max
3477,"WELL AT ALIPUR, DELHI",-,-,7.5999999999999996,7.5999999999999996,-,-,-,-,896,911,-,-,-,-
3479,"WELL AT AURBINDO MARG, DELHI",-,-,7.2000000000000002,7.2999999999999998,-,-,-,-,612,623,-,-,-,-
3480,"WELL AT BAWANA, DELHI",-,-,7.2999999999999998,7.5999999999999996,-,-,-,-,258,279,-,-,-,-
3483,"WELL AT BURARI, DELHI",-,-,7.5,7.7000000000000002,-,-,-,-,352,768,-,-,-,-
3485,"WELL AT DEFENCE COLONY, DELHI",-,-,6.9000000000000004,7.0999999999999996,-,-,-,-,280,295,-,-,-,-
3488,"WELL AT DILSHAD GARDEN, DELHI",-,-,6.9000000000000004,7.0999999999999996,-,-,-,-,572,600,-,-,-,-
3489,"WELL AT DWARKA, DELHI",-,-,6.9000000000000004,7.0999999999999996,-,-,-,-,570,577,-,-,-,-
3490,"WELL AT FATEH PUR BER, DELH",-,-,7.0999999999999996,7.2000000000000002,-,-,-,-,621,627,-,-,-,-
3492,"WELL AT GAJIPUR, DELHI",-,-,7.2000000000000002,7.4000000000000004,-,-,-,-,690,700,-,-,-,-
3493,"WELL AT GANDHI NAGAR, DELHI",-,-,7.0999999999999996,7.4000000000000004,-,-,-,-,502,521,-,-,-,-
3494,"WELL AT HAIDERPUR, DELHI",-,-,6.7000000000000002,6.9000000000000004,-,-,-,-,790,798,-,-,-,-
3496,"WELL AT ISBT, DELHI",-,-,7.2000000000000002,7.7000000000000002,-,-,-,-,746,842,-,-,-,-
3498,"WELL AT KALKA JI, DELHI",-,-,7,7.0999999999999996,-,-,-,-,460,469,-,-,-,-
3500,"WELL AT KAMLA NAGAR, DELHI",-,-,7.4000000000000004,7.9000000000000004,-,-,-,-,512,534,-,-,-,-
3503,"WELL AT KAROL BAGH, DELHI",-,-,7,7.2000000000000002,-,-,-,-,355,395,-,-,-,-
3514,"WELL AT MATIALA, DELHI",-,-,7.0999999999999996,7.2000000000000002,-,-,-,-,812,819,-,-,-,-
3515,"WELL AT MAYAPURI, DELHI",-,-,6.5999999999999996,7.2000000000000002,-,-,-,-,475,540,-,-,-,-
3516,"WELL AT MAYURVHAR, DELH",-,-,7.2000000000000002,7.5,-,-,-,-,475,495,-,-,-,-
3517,"WELL AT NAJAFGARH, DELH",-,-,7.2999999999999998,7.4000000000000004,-,-,-,-,765,770,-,-,-,-
3518,"WELL AT NARAINA INDL AREA, DELHI",-,-,7.0999999999999996,7.2000000000000002,-,-,-,-,860,874,-,-,-,-
3520,"WELL AT OKHLA, DELHI",-,-,7,7.2000000000000002,-,-,-,-,844,853,-,-,-,-
3523,"WELL AT PARIVEESH BHAWAA, DELHI",-,-,7.2000000000000002,7.2999999999999998,2297,2377,BDL,BDL,1307,1448,0.5,0.5,BDL,BDL
3524,"WELL AT PASCHIM VHAR, DELH",-,-,7.4000000000000004,7.4000000000000004,-,-,-,-,1220,1250,-,-,-,-
3525,"WELL AT PATEL NAGAR, DELHI",-,-,7.2999999999999998,7.4000000000000004,-,-,-,-,405,415,-,-,-,-
3526,"WELL AT PATPAR GANJ, DELHI",-,-,7.4000000000000004,7.5999999999999996,-,-,-,-,1109,1123,-,-,-,-
3527,"WELL AT PATPARGANJ INDL AREA, DELHI",-,-,7.4000000000000004,7.9000000000000004,-,-,-,-,1102,1109,-,-,-,-
3528,"WELL AT PEERAGARHI, DELHI",-,-,7.5999999999999996,7.7999999999999998,-,-,-,-,3354,3370,-,-,-,-
3529,"WELL AT PILANJI, DELHI",-,-,7.5,7.5,-,-,-,-,319,342,-,-,-,-
3530,WELL AT PRIYA ENCLAVE DELH,-,-,7.0999999999999996,7.2000000000000002,-,-,-,-,424,478,-,-,-,-
3531,"WELL AT QUTAB GARH, DELH",-,-,7.7000000000000002,7.7999999999999998,-,-,-,-,2775,2790,-,-,-,-
3532,"WELL AT RAJENDER NAGAR, DELHI",-,-,7.2000000000000002,7.5,-,-,-,-,407,448,-,-,-,-
3533,"WELL AT RAJPURA ROAD, DELHI",-,-,7.5,7.7000000000000002,-,-,-,-,332,339,-,-,-,-
3534,"WELL NEAR GURUDWARA SHRI RAKABGANJ SAHIB, DELHI",-,-,6.9000000000000004,7,-,-,-,-,724,801,-,-,-,-
3535,"WELL AT ROHINI, DELHI",-,-,7.0999999999999996,7.5999999999999996,-,-,-,-,298,375,-,-,-,-
3536,"WELL AT SAKET, DELHI",-,-,7.0999999999999996,7.2999999999999998,-,-,-,-,515,518,-,-,-,-
3537,"WELL AT SHAHDARA, DELHI",-,-,6.5,6.9000000000000004,-,-,-,-,428,440,-,-,-,-
3538,"WELL AT SINGHU BORDER, DELHI",-,-,7.5,7.5999999999999996,-,-,-,-,1040,1114,-,-,-,-
3539,"WELL AT SINGOLA, DELHI",-,-,7.4000000000000004,7.5,-,-,-,-,1680,1710,-,-,-,-
3540,"WELL AT SULTANPURI, DELHI",-,-,7.4000000000000004,7.5,-,-,-,-,684,690,-,-,-,-
3541,"WELL AT TIKRI KALAN , DELHI",-,-,7,7.5,-,-,-,-,746,755,-,-,-,-
3542,"WELL AT TILAK NAGAR, DELHI",-,-,7.5,7.7000000000000002,-,-,-,-,372,380,-,-,-,-
3543,"WELL AT TRILOKPURI, DELHI",-,-,7.0999999999999996,7.2999999999999998,-,-,-,-,524,555,-,-,-,-
3544,"WELL AT UJWAH, DELHI",-,-,7.2000000000000002,7.4000000000000004,-,-,-,-,394,402,-,-,-,-
3545,WELL AT VASANT KUNJ DELH,-,-,7.0999999999999996,7.4000000000000004,-,-,-,-,687,701,-,-,-,-
3546,WELL AT VASANT VIHA,-,-,7.2000000000000002,7.4000000000000004,-,-,-,-,400,437,-,-,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

